catalog,man,bran,year,circa,surf,textureWord,glossWord,colorWord,thicknessWord,dims,backp,postcard,toner,resin,sb,sbid,suffs,dmin,dmax,dminHex,dmaxHex,auc,roughness,gloss,thickness,expressiveness,radarGroup,expressivenessGroup,isoGroup,gep100,gep150,gep200,gep250,gep300,tmap,processing
41,Photographic Specialties,Variotone,1985,1,,,Glossy,,,8 x 10,A09,0,,0,0,,v,6.24,,#f6f0e4,,1.136,0.015,65.942,0.281,1.294,1_2_1_1,0.0,1.0,"[42, -19, 0]","[73, -25, 0]","[128, -23, 0]","[214, -34, 0]","[307, -39, 0]","[46.0, 60.0, 0]",0
42,Photographic Specialties,Variotone,1985,1,,,Glossy,,,8 x 10,A09,0,,0,0,,v,7.04,,#f5eee1,,1.022,0.018,61.379,0.268,1.323,1_2_2_1,1.0,1.0,"[24, -17, 0]","[67, -24, 0]","[119, -31, 0]","[185, -38, 0]","[267, -45, 0]","[57.0, 41.0, 3]",0
48,Kodak,Azo,1959,0,F,Smooth,Glossy,White,Single Weight,8 x 10,,0,,0,0,,v,1.89,,#e8e8e4,,0.155,0.022,52.744,0.162,1.13,0_2_1_1,0.0,0.0,"[32, -1, 0]","[78, -3, 0]","[141, -7, 0]","[219, -9, 0]","[314, -11, 0]","[32.0, 58.0, 0]",0
49,Kodak,Restisto,1961,1,N,Smooth,Luster,White,Single Weight,8 x 10,,0,,0,0,,v,2.71,,#eae9e4,,0.189,0.014,10.409,0.16,1.324,0_0_1_1,1.0,0.0,"[23, -4, 0]","[34, 12, 0]","[72, 8, 0]","[109, 20, 0]","[155, 23, 0]","[21.0, 37.0, 1]",1
50,Kodak,Restisto,1961,0,N,Smooth,Luster,White,Single Weight,8 x 10,,0,,0,0,,v,3.38,,#e9e8e1,,0.205,0.013,9.398,0.164,1.346,0_0_1_1,1.0,0.0,"[13, 9, 0]","[38, 13, 0]","[66, 15, 0]","[105, 17, 0]","[153, 20, 0]","[23.0, 45.0, 0]",1
51,Ansco GAF,Indiatone,1965,1,K (Kashmir),Pebbled,Moderate Luster,Natural White,Double Weight,8 x 10,,0,,0,0,,v,11.84,,#f3edd6,,0.308,0.037,10.052,0.346,1.819,1_0_2_2,2.0,1.0,"[-2, 39, 0]","[11, 44, 0]","[27, 52, 0]","[28, 54, 0]","[47, 64, 0]","[76.0, 54.0, 0]",0
52,Ansco GAF,Indiatone,1965,1,K (Kashmir),Pebbled,Moderate Luster,Natural White,Double Weight,8 x 10,,0,,0,0,,v,12.02,,#f4eed7,,0.303,0.042,9.25,0.342,1.837,1_0_3_3,2.0,1.0,"[-14, 15, 0]","[-16, 27, 0]","[-25, 33, 0]","[-36, 41, 0]","[-51, 49, 0]","[85.0, 48.0, 2]",0
54,Kodak,Brownie Velox,1910,0,,,,,,2.25 x 2.25,,0,,0,0,,v,9.33,,#e1dcca,,0.276,0.051,8.576,0.134,1.536,0_0_2_3,1.0,0.0,"[3, -4, 0]","[14, -1, 0]","[25, -1, 0]","[38, -1, 0]","[55, -1, 0]","[59.0, 26.0, 0]",0
55,Kodak,Azo,1913,0,D (Azo),Rough,Matte,Natural White,Single Weight,3.25 x 5.5,,0,,0,0,,v,13.06,,#e5ddc4,,0.083,0.045,6.791,0.153,1.628,0_0_3_3,2.0,0.0,"[1, -4, 0]","[7, -2, 0]","[12, -2, 0]","[18, -3, 0]","[26, -3, 0]","[46.0, 24.0, 0]",1
58,Kodak,Velox,1952,0,F,Smooth,Glossy,White,Single Weight,3.5 x 5,K07,0,,0,0,,l|b|v,0.57,,#e7e6e5,,0.157,0.018,52.464,0.173,1.109,0_2_1_1,0.0,0.0,"[46, -9, 0]","[69, -12, 0]","[131, -10, 0]","[216, -18, 0]","[311, -20, 0]","[36.0, 50.0, 0]",0
59,Kodak,Illustrator's Azo,1952,0,E,Fine Grained,Luster,White,Single Weight,4 x 5,,0,,0,0,,l|v|b,4.72,,#f1f0e6,,0.244,0.027,10.043,0.174,1.421,0_0_1_1,1.0,0.0,"[14, 3, 0]","[39, 9, 0]","[69, 12, 0]","[108, 15, 0]","[156, 18, 0]","[82.0, 51.0, 1]",0
60,Kodak,Studio Proof,1953,0,F,Smooth,Glossy,White,Single Weight,4 x 5,,0,,0,0,,b|v|l,22.42,,#a08260,,0.017,0.071,45.365,0.149,1.701,0_2_4_4,2.0,0.0,"[1, -23, 0]","[9, -30, 0]","[16, -40, 0]","[25, -50, 0]","[36, -60, 0]","[41.0, 20.0, 1]",0
61,Kodak,Velox,1952,0,F,Smooth,Glossy,White,Single Weight,3.5 x 5,K07,0,,0,0,,v|b|l,0.44,,#e7e6e6,,0.245,0.019,60.636,0.159,1.051,0_2_1_1,0.0,0.0,"[45, -22, 0]","[93, -11, 0]","[130, 2, 0]","[225, -18, 0]","[311, -24, 0]","[30.0, 62.0, 0]",0
62,Kodak,Kodabromide,1951,0,F,Smooth,Glossy,White,Double Weight,postcards,,1,,0,0,,l|b|v,3.31,,#eae8e1,,0.353,0.018,29.554,0.302,1.442,1_1_1_1,1.0,1.0,"[20, 8, 0]","[56, 14, 0]","[98, 19, 0]","[153, 24, 0]","[220, 28, 0]","[26.0, 58.0, 1]",0
63,Kodak,Velox,1952,0,F,Smooth,Glossy,White,Single Weight,3.5 x 5,K07,0,,0,0,,l|v|b,1.14,,#e8e7e5,,0.253,0.02,57.079,0.173,1.104,0_2_1_1,0.0,0.0,"[47, -13, 0]","[69, 2, 0]","[137, 0, 0]","[208, -13, 0]","[319, -16, 0]","[27.0, 59.0, 1]",0
64,Kodak,Velox,1952,0,F,Smooth,Glossy,White,Single Weight,3.5 x 5,K07,0,,0,0,,l|v|b,0.6,,#e6e5e4,,0.203,0.024,54.2,0.165,1.107,0_2_1_1,0.0,0.0,"[45, 1, 0]","[75, 5, 0]","[138, -1, 0]","[217, -4, 0]","[312, -6, 0]","[27.0, 61.0, 1]",0
65,Kodak,Azo,1956,0,D,Fine Grained,High Luster,Snow White,Double Weight,4.25 x 5.5,K07,0,,0,0,,b|t|v,-1.12,,#e5e7e9,,1.779,0.022,51.285,0.175,1.093,0_2_0_1,0.0,0.0,"[35, -6, 0]","[85, -4, 0]","[150, -6, 0]","[234, -8, 0]","[337, -9, 0]","[42.0, 57.0, 1]",0
66,Kodak,Azo,1945,0,F (Azo),Smooth,Glossy,White,Single Weight,2.5 x 3.5,,0,,0,0,,v|b,3.45,,#edece5,,0.507,0.022,41.749,0.183,1.243,0_2_1_1,0.0,0.0,"[49, -12, 0]","[89, 2, 0]","[128, -14, 0]","[225, -14, 0]","[302, -17, 0]","[38.0, 68.0, 0]",0
67,Kodak,Azo,1945,0,E,Fine Grained,Luster,White,Single Weight,2.5 x 3.5,,0,,0,0,,b|v,1.76,,#e8e7e3,,0.205,0.039,10.093,0.188,1.41,0_0_1_2,1.0,0.0,"[16, -7, 0]","[33, 2, 0]","[62, 6, 0]","[104, 6, 0]","[150, 8, 0]","[59.0, 50.0, 0]",0
68,Kodak,Azo,1943,1,F (Azo),Smooth,Glossy,White,Single Weight,2.5 x 3.5,,0,,0,0,,b|v,2.99,,#e9e8e2,,0.991,0.038,10.422,0.18,1.423,0_0_1_2,1.0,0.0,"[18, 0, 0]","[40, 4, 0]","[65, 5, 0]","[102, 7, 0]","[148, 9, 0]","[59.0, 50.0, 2]",0
69,Defender,Veltura,1932,0,C,,Matte,White,Double Weight,8 x 10,,0,,0,0,,v,9.15,,#efe8d7,,0.202,0.03,3.886,0.325,1.747,1_0_2_1,2.0,1.0,"[6, 17, 0]","[16, 30, 0]","[27, 41, 0]","[42, 51, 0]","[60, 62, 0]","[37.0, 29.0, 1]",0
70,Ansco,Cyko,1915,0,6 - Studio,Smooth,Slight Luster,,,2.5 x 4.25,,0,,0,0,,v,19.54,,#d2c3a0,,0.045,0.053,12.245,0.156,1.761,0_0_4_3,2.0,0.0,"[-9, -6, 0]","[-10, 0, 0]","[-18, -1, 0]","[-28, -1, 0]","[-40, -2, 0]","[47.0, 10.0, 0]",0
